Symbol,Date,Open,High,Low,Close,Volume
TSLA,2024-04-30,186.9800,190.9500,182.8401,183.2800,127031787
TSLA,2024-04-29,188.4200,198.8700,184.5400,194.0500,243869678
TSLA,2024-04-26,168.8500,172.1200,166.3700,168.2900,109815725
TSLA,2024-04-25,158.9600,170.8800,158.3600,170.1800,126427521
TSLA,2024-04-24,162.8400,167.9700,157.5100,162.1300,181178020
TSLA,2024-04-23,143.3300,147.2600,141.1100,144.6800,124545104
TSLA,2024-04-22,140.5600,144.4400,138.8025,142.0500,107097564
TSLA,2024-04-19,148.9700,150.9400,146.2200,147.0500,87074500
TSLA,2024-04-18,151.2500,152.2000,148.7000,149.9300,96098830
TSLA,2024-04-17,157.6400,158.3300,153.7800,155.4500,82439718
TSLA,2024-04-16,156.7420,158.1900,153.7500,157.1100,96999956
TSLA,2024-04-15,170.2400,170.6900,161.3800,161.4800,100245310
TSLA,2024-04-12,172.3400,173.8099,170.3644,171.0500,64722669
TSLA,2024-04-11,172.5500,175.8800,168.5100,174.6000,94515987
TSLA,2024-04-10,173.0400,174.9300,170.0100,171.7600,84532407
TSLA,2024-04-09,172.9100,179.2200,171.9200,176.8800,102327658
TSLA,2024-04-08,169.3400,174.5000,167.7900,172.9800,104039371
TSLA,2024-04-05,169.0800,170.8600,160.5100,164.9000,136439809
TSLA,2024-04-04,170.0700,177.1900,168.0100,171.1100,122061224
TSLA,2024-04-03,164.0200,168.8200,163.2800,168.3800,82223543
TSLA,2024-04-02,164.7500,167.6900,163.4300,166.6300,115344925
TSLA,2024-04-01,176.1700,176.7500,170.2100,175.2200,80751684
TSLA,2024-03-28,177.4500,179.5700,175.3000,175.7900,77654838
TSLA,2024-03-27,181.4100,181.9100,176.0000,179.8300,81804043
TSLA,2024-03-26,178.5800,184.2500,177.3800,177.6700,113186227
TSLA,2024-03-25,168.7600,175.2400,168.7300,172.6300,74228615
TSLA,2024-03-22,166.6900,171.2000,166.3000,170.8300,75580637
TSLA,2024-03-21,176.3900,178.1800,171.8000,172.8200,73178014
TSLA,2024-03-20,173.0000,176.2500,170.8200,175.6600,83846726
TSLA,2024-03-19,172.3600,172.8200,167.4200,171.3200,77271428
TSLA,2024-03-18,170.0200,174.7200,165.9000,173.8000,108214358
TSLA,2024-03-15,163.1600,165.1845,160.7600,163.5700,97146832
TSLA,2024-03-14,167.7700,171.1700,160.5100,162.5000,125494925
TSLA,2024-03-13,173.0500,176.0500,169.1500,169.4800,104717978
TSLA,2024-03-12,177.7700,179.4300,172.4101,177.5400,87009098
TSLA,2024-03-11,175.4500,182.8700,174.8000,177.7700,85013157
JPM,2024-08-01,213.2000,213.8300,206.3800,207.8400,10452836
JPM,2024-07-31,214.7800,216.3900,212.6700,212.8000,9071637
JPM,2024-07-30,213.2300,215.7900,212.9600,215.1900,8850705
JPM,2024-07-29,212.6500,213.6100,210.5450,210.8500,6533636
JPM,2024-07-26,209.2400,213.1600,208.6200,212.2400,8027787
JPM,2024-07-25,208.6500,210.1900,208.0500,208.6700,6403774
JPM,2024-07-24,209.5500,212.0300,208.0700,208.5900,7118957
JPM,2024-07-23,211.0200,211.4750,209.3527,210.3300,5557262
JPM,2024-07-22,210.4600,212.1700,209.7100,210.2800,7663223
JPM,2024-07-19,211.2000,212.3500,208.9200,209.7800,8095898
JPM,2024-07-18,215.6300,216.6350,209.2350,209.9800,12415125
JPM,2024-07-17,213.8000,217.5600,213.2700,216.8700,11572470
JPM,2024-07-16,210.0000,213.7400,208.0800,213.6200,11557018
JPM,2024-07-15,207.1900,211.6100,206.7200,210.0500,10719670
JPM,2024-07-12,204.0000,207.4500,202.1000,204.9400,15443441
JPM,2024-07-11,206.2100,208.1000,205.3800,207.4500,10666937
JPM,2024-07-10,206.1400,207.9700,205.5800,207.8000,8328493
JPM,2024-07-09,205.6300,209.7600,205.4500,207.6300,9060258
JPM,2024-07-08,205.0400,206.9000,203.9700,205.1700,8706967
JPM,2024-07-05,206.9900,207.3700,204.5200,204.7900,8093096
JPM,2024-07-03,209.5500,210.3800,207.6500,208.6900,5560925
JPM,2024-07-02,205.2900,208.8600,204.7700,208.8300,7802936
JPM,2024-07-01,202.8400,207.0900,202.6600,205.4500,10205836
JPM,2024-06-28,200.0100,202.6000,199.3018,202.2600,15307616
JPM,2024-06-27,197.4400,199.8600,196.9000,199.1700,7913453
JPM,2024-06-26,197.4500,197.9400,196.2750,197.4300,7758582
JPM,2024-06-25,198.0900,200.0700,197.7400,198.0700,6915909
JPM,2024-06-24,197.8100,199.2300,197.1000,198.8800,9785929
JPM,2024-06-21,196.7100,197.1700,194.2200,196.3000,20972495
JPM,2024-06-20,196.3900,199.4500,196.1100,198.6700,8731062
JPM,2024-06-18,194.6000,197.9600,194.1300,197.0000,9022971
JPM,2024-06-17,193.4800,195.5800,192.6400,194.9800,8725445
JPM,2024-06-14,191.4500,194.8600,191.4200,193.7800,6874029
JPM,2024-06-13,192.3200,194.5800,190.8800,193.6600,8587786
JPM,2024-06-12,196.0000,196.7200,191.3100,191.5300,12751329
JPM,2024-06-11,197.9100,197.9400,193.6000,194.3600,9235302
JPM,2024-06-10,199.2400,200.8400,198.4400,199.6100,6071201
JPM,2024-06-07,197.4300,200.9200,197.0100,199.9500,6964498
JPM,2024-06-06,197.2600,198.0200,195.3300,196.9100,7640289
JPM,2024-06-05,199.7600,199.8200,196.9200,197.2600,8351597
JPM,2024-06-04,200.1600,201.9800,198.2800,199.1600,6848338
JPM,2024-06-03,202.3100,202.4200,199.1900,201.8200,6444309
JPM,2024-05-31,199.3000,203.3000,198.3500,202.6300,14417885
JPM,2024-05-30,198.5600,199.8500,198.4000,199.3300,6829719
JPM,2024-05-29,198.0000,198.9900,196.8900,198.1100,6120045
JPM,2024-05-28,199.8600,200.4100,198.6600,199.5000,6910206
JPM,2024-05-24,197.7500,200.7600,197.5600,200.7100,7356233
JPM,2024-05-23,197.8100,198.3000,196.0700,196.9200,8069445
JPM,2024-05-22,199.0000,200.9350,197.6900,198.3100,9425338
JPM,2024-05-21,197.0000,199.9000,196.6000,199.5200,14420799
JPM,2024-05-20,204.3900,205.8800,195.4000,195.5800,17373253
JPM,2024-05-17,203.8100,205.0500,202.8149,204.7900,9260490
JPM,2024-05-16,202.2200,204.4800,201.9901,202.4700,8497927
JPM,2024-05-15,202.0100,202.6900,199.7700,202.1100,8369975
JPM,2024-05-14,199.0000,201.5800,198.1600,201.5100,8596175
JPM,2024-05-13,198.8000,199.8500,198.0400,198.7300,7049241
JPM,2024-05-10,198.5400,199.3399,198.2700,198.7700,7529790
JPM,2024-05-09,195.1700,197.5900,195.1000,197.5000,7977291
JPM,2024-05-08,191.0000,196.6500,191.0000,195.6500,9227561
JPM,2024-05-07,191.7000,192.9300,191.6500,191.7500,7688771
JPM,2024-05-06,191.7300,192.2000,189.8150,192.0000,7911134
JPM,2024-05-03,192.0000,192.5290,188.4600,190.5100,8922775
JPM,2024-05-02,193.0700,193.5000,189.5200,191.6600,6501657
JPM,2024-05-01,192.2700,194.4600,190.7900,191.8600,7446703
JPM,2024-04-30,192.8100,194.9900,191.6400,191.7400,8153681
JPM,2024-04-29,193.4800,194.2600,192.4300,193.2800,5411129
JPM,2024-04-26,193.5700,194.8700,193.0600,193.4900,6413655
JPM,2024-04-25,192.2500,193.9350,191.1800,193.3700,9802265
JPM,2024-04-24,190.5300,193.2300,190.1700,193.0800,6964905
JPM,2024-04-23,191.1300,192.2250,190.5200,192.1400,9144372
JPM,2024-04-22,185.9900,190.1250,185.9800,189.4100,11529668
